raw_text,normalized_message,intent,sentiment,confidence,clarification
🙄 y u guys slow,Why are you guys so slow?,complaint,annoyed,0.64,
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.51,
mere  paise  kahan  gaye  😡,Where did my money go?,transaction_issue,angry,0.77,
samajh  nahi  aaya,I didn't understand,unknown,confused,0.32,Can you please explain further?
bhai balance dikha,"Bhai, show me balance",check_balance,neutral,0.97,
🙄  y  $u  g@uys  slo$w,Why are you guys so slow?,complaint,annoyed,0.62,
wnt* 2 tlk 2^ &sm1,I want to talk to someone,human_agent_request,urgent,0.88,
mera@  account  bloc$k  ho  gaya  😭,My account has been blocked,account_issue,sad,0.77,
phone nu%mber badalna hai,I want to update my phone number,update_info,neutral,0.93,
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.35,Can you please explain further?
🙄 y u guys slow,Why are you guys so slow?,complaint,annoyed,0.62,
phir error aa raha hai,I am getting error again,app_issue,frustrated,0.8,
bal pls,Please show me my balance,check_balance,neutral,0.86,
upd8  phn  no.,Update my phone number,update_info,neutral,0.93,
itna slow kyu ho,Why is it so slow?,complaint,annoyed,0.78,
😡@  y  #tf  my  txn  fail,Why did my transaction fail?,failed_transaction,angry,0.9,
😭 ac@ct b@lckd?,Is my account blocked?,account_issue,sad,0.82,
upd8 phn no.,Update my phone number,update_info,neutral,0.81,
pho#ne#  number@  badaln$a  #hai,I want to update my phone number,update_info,neutral,0.92,
IFSC  kya  hota  hai?,What is IFSC?,general_query,confused,0.53,
😭  acct  blckd?,Is my account blocked?,account_issue,sad,0.87,
ba@l pls,Please show me my balance,check_balance,neutral,0.89,
phone number badalna hai,I want to update my phone number,update_info,neutral,0.83,
hpy  wid  srvcs  😊,I am happy with your services,feedback,happy,0.81,pls provide your feedback
wnt  2  tlk  2  sm1,I want to talk to someone,human_agent_request,urgent,0.8,
IFSC  kya  hota  hai?,What is IFSC?,general_query,confused,0.36,Can you please explain further?
bhai  balance  dikh#a,"Bhai, show me balance",check_balance,neutral,0.85,
no  clue  wht  h$ppnd  😕,I have no idea what happened,unknown,confused,0.43,Can you please explain further?
bal  pls,Please show me my balance,check_balance,neutral,0.9,
mere paise kahan gaye 😡,Where did my money go?,transaction_issue,angry,0.8,
no clue wh&t hp*pnd 😕@,I have no idea what happened,unknown,confused,0.6,
samajh nahi %aaya,I didn't understand,unknown,confused,0.39,Can you please explain further?
mera  accoun#t  block  @ho  gay@a  😭,My account has been blocked,account_issue,sad,0.9,
service  achi  lagi  😊,I liked the service,feedback,happy,0.94,pls provide your feedback
wnt  2  tlk  2  sm1,I want to talk to someone,human_agent_request,urgent,0.91,
service achi lagi 😊,I liked the service,feedback,happy,0.88,pls provide your feedback
🤔  @uh#  wot's  IFS@C??,What is IFSC?,general_query,confused,0.49,Can you please explain further?
hpy wid srvcs 😊,I am happy with your services,feedback,happy,0.9,pls provide your feedback
itna  slow  kyu  ho,Why is it so slow?,complaint,annoyed,0.83,
😡  y  $tf  my@  t$xn  fail,Why did my transaction fail?,failed_transaction,angry,0.8,
k$isi  se  baat  karni  h$ai,I want to talk to someone,human_agent_request,urgent,0.71,
mera  account  block  ho  gaya  😭,My account has been blocked,account_issue,sad,0.92,
🤔  uh  wot's  IFSC?$?,What is IFSC?,general_query,confused,0.51,
no  clu$e  #wht  hppnd$  😕,I have no idea what happened,unknown,confused,0.57,
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.38,Can you please explain further?
mere paise kahan gaye 😡,Where did my money go?,transaction_issue,angry,0.91,
😡 y tf my$ #txn% fail,Why did my transaction fail?,failed_transaction,angry,0.74,
😡  y  tf  my  txn  fai$l,Why did my transaction fail?,failed_transaction,angry,0.99,
kisi  se  baat  karni  hai,I want to talk to someone,human_agent_request,urgent,0.9,
kisi  se  baat  karni  hai,I want to talk to someone,human_agent_request,urgent,0.93,
🙄  y  u  gu#ys  s@low,Why are you guys so slow?,complaint,annoyed,0.83,
bal pls,Please show me my balance,check_balance,neutral,0.99,
samajh nahi aaya,I didn't understand,unknown,confused,0.51,
wnt  2  t$l#k  2  sm1,I want to talk to someone,human_agent_request,urgent,0.91,
IFSC kya hota hai?,What is IFSC?,general_query,confused,0.38,Can you please explain further?
no $clue& wht hppnd 😕,I have no idea what happened,unknown,confused,0.4,Can you please explain further?
🤔  uh  wot's  IFSC??,What is IFSC?,general_query,confused,0.51,
upd8  phn  no.,Update my phone number,update_info,neutral,0.88,
wnt  2  tlk  2  sm1,I want to talk to someone,human_agent_request,urgent,0.84,
upd8 p^hn no.,Update my phone number,update_info,neutral,0.85,
bal  pls,Please show me my balance,check_balance,neutral,0.97,
🤔@ uh wot's @IF%SC??^,What is IFSC?,general_query,confused,0.4,Can you please explain further?
bhai balance dikha,"Bhai, show me balance",check_balance,neutral,0.82,
mera account block ho gaya 😭,My account has been blocked,account_issue,sad,0.7,
service achi lagi 😊,I liked the service,feedback,happy,0.96,pls provide your feedback
msg er&r agn,I am getting message error again,app_issue,frustrated,0.71,
service achi lagi 😊,I liked the service,feedback,happy,0.88,pls provide your feedback
😡 y tf my txn fail,Why did my transaction fail?,failed_transaction,angry,0.77,
🤔  uh  wot's  @IFSC??#,What is IFSC?,general_query,confused,0.56,
🙄 y u guys slow,Why are you guys so slow?,complaint,annoyed,0.9,
bal  pls,Please show me my balance,check_balance,neutral,0.83,
mere  paise  kahan  gaye  😡,Where did my money go?,transaction_issue,angry,0.85,
itn#a slow# $kyu ho,Why is it so slow?,complaint,annoyed,0.7,
no clue wht hppnd 😕,I have no idea what happened,unknown,confused,0.5,
bal  pls,Please show me my balance,check_balance,neutral,0.94,
phone number badalna hai,I want to update my phone number,update_info,neutral,0.88,
bhai  balance  dikha,"Bhai, show me balance",check_balance,neutral,0.86,
kisi  se  baa@t  @karni$  hai@,I want to talk to someone,human_agent_request,urgent,0.88,
mera account block ho gaya 😭,My account has been blocked,account_issue,sad,0.87,
ki^si s%e b%aat karni &hai,I want to talk to someone,human_agent_request,urgent,0.71,
no clue wht hppnd 😕,I have no idea what happened,unknown,confused,0.52,
kisi  se  baat  karni  hai,I want to talk to someone,human_agent_request,urgent,0.99,
samajh  nahi  aaya,I didn't understand,unknown,confused,0.59,
🤔 uh wot's IFSC??,What is IFSC?,general_query,confused,0.37,Can you please explain further?
🤔  uh  wot's  IFSC??,What is IFSC?,general_query,confused,0.47,Can you please explain further?
wnt 2 tlk 2 sm1,I want to talk to someone,human_agent_request,urgent,0.95,
samajh  nah#i  aaya,I didn't understand,unknown,confused,0.58,
IFSC kya hota hai?,What is IFSC?,general_query,confused,0.39,Can you please explain further?
mere paise kahan gaye 😡,Where did my money go?,transaction_issue,angry,0.91,
🤔  $uh$  #wo#t'@s  IFSC??,What is IFSC?,general_query,confused,0.56,
bhai  balance  dikha@,"Bhai, show me balance",check_balance,neutral,0.83,
servi@ce  achi  lagi  #😊,I liked the service,feedback,happy,0.84,pls provide your feedback
bha#i  balance  di#k$ha,"Bhai, show me balance",check_balance,neutral,0.83,
mere  pai@se  kahan  g#a@ye  😡,Where did my money go?,transaction_issue,angry,0.73,
phir  error  aa  raha  hai,I am getting error again,app_issue,frustrated,0.64,
msg err agn,I am getting message error again,app_issue,frustrated,0.82,
bhai balance dikha,"Bhai, show me balance",check_balance,neutral,0.87,
samajh  nahi  aaya,I didn't understand,unknown,confused,0.58,
phir error aa raha hai,I am getting error again,app_issue,frustrated,0.81,
🙄  y  u  guys  slow,Why are you guys so slow?,complaint,annoyed,0.88,
samajh nahi aaya,I didn't understand,unknown,confused,0.42,Can you please explain further?
IFSC kya hota hai?,What is IFSC?,general_query,confused,0.36,Can you please explain further?
bal  p@ls#,Please show me my balance,check_balance,neutral,0.95,
no  clue#  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.37,Can you please explain further?
samajh nahi aaya,I didn't understand,unknown,confused,0.57,
🙄  y  u  guys  slo$w,Why are you guys so slow?,complaint,annoyed,0.69,
msg  err@  a@g$n,I am getting message error again,app_issue,frustrated,0.75,
🤔 uh #wot's IFSC??,What is IFSC?,general_query,confused,0.43,Can you please explain further?
phone@  number  badalna  hai,I want to update my phone number,update_info,neutral,0.88,
phir error a$a #raha hai,I am getting error again,app_issue,frustrated,0.61,
kisi  se  baat  karni  hai,I want to talk to someone,human_agent_request,urgent,0.76,
ba#l  $pls,Please show me my balance,check_balance,neutral,0.92,
😡  y  t@f  my  txn  fail,Why did my transaction fail?,failed_transaction,angry,0.89,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.9,
itna slow kyu ho,Why is it so slow?,complaint,annoyed,0.78,
serv$ice  achi  la#g$i  😊,I liked the service,feedback,happy,0.95,pls provide your feedback
bhai balance dikha,"Bhai, show me balance",check_balance,neutral,0.8,
🤔 uh wot's IFSC??,What is IFSC?,general_query,confused,0.33,Can you please explain further?
phone  number  badalna  hai,I want to update my phone number,update_info,neutral,0.96,
itna  slow  kyu  ho,Why is it so slow?,complaint,annoyed,0.66,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.88,
wnt 2 tlk %2 sm1,I want to talk to someone,human_agent_request,urgent,0.83,
mera account block ho gaya 😭,My account has been blocked,account_issue,sad,0.86,
bhai bal&ance dik%ha,"Bhai, show me balance",check_balance,neutral,0.99,
hpy% wid srvcs 😊,I am happy with your services,feedback,happy,0.94,pls provide your feedback
IFSC kya #hota hai?*,What is IFSC?,general_query,confused,0.43,Can you please explain further?
phir  error  aa  raha  hai,I am getting error again,app_issue,frustrated,0.68,
bha#i^ balance dikha,"Bhai, show me balance",check_balance,neutral,0.86,
service achi lagi 😊,I liked the service,feedback,happy,0.83,pls provide your feedback
😭  #acct#  blckd?,Is my account blocked?,account_issue,sad,0.78,
samajh nahi aaya,I didn't understand,unknown,confused,0.56,
mera account block ho gaya 😭,My account has been blocked,account_issue,sad,0.91,
phone  $number  badal@n@a  hai,I want to update my phone number,update_info,neutral,0.84,
hpy wid srvcs 😊,I am happy with your services,feedback,happy,0.96,pls provide your feedback
hpy  wid  srvcs  😊,I am happy with your services,feedback,happy,0.95,pls provide your feedback
itna  slo$w  kyu  h#o,Why is it so slow?,complaint,annoyed,0.71,
wnt  2  tlk  2  sm1,I want to talk to someone,human_agent_request,urgent,0.73,
kisi se baat karni hai,I want to talk to someone,human_agent_request,urgent,0.87,
IFSC kya hota hai?,What is IFSC?,general_query,confused,0.59,
itna  slow  ky@u  #ho,Why is it so slow?,complaint,annoyed,0.64,
mera  account  block  ho  gaya  😭,My account has been blocked,account_issue,sad,0.8,
bal pls,Please show me my balance,check_balance,neutral,0.86,
samajh$  nahi  a@aya,I didn't understand,unknown,confused,0.42,Can you please explain further?
upd8 phn no.,Update my phone number,update_info,neutral,0.98,
service  achi  lagi  😊,I liked the service,feedback,happy,0.81,pls provide your feedback
bhai  balan$ce  @dikha,"Bhai, show me balance",check_balance,neutral,0.95,
phone  nu#mbe$r  bad#alna  h@ai,I want to update my phone number,update_info,neutral,0.86,
mere$ pai&se #kahan^ gaye 😡,Where did my money go?,transaction_issue,angry,0.97,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.93,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.86,
IFSC  k@ya  ho$ta  hai?,What is IFSC?,general_query,confused,0.36,Can you please explain further?
phone number badalna hai,I want to update my phone number,update_info,neutral,0.97,
phir error aa raha hai,I am getting error again,app_issue,frustrated,0.62,
🙄  y  u  @guys  slow,Why are you guys so slow?,complaint,annoyed,0.64,
wnt 2 tlk 2 sm1,I want to talk to someone,human_agent_request,urgent,0.83,
mera account block ho gaya 😭,My account has been blocked,account_issue,sad,0.89,
mera% acco#unt block ho gaya 😭,My account has been blocked,account_issue,sad,0.71,
msg err agn,I am getting message error again,app_issue,frustrated,0.69,
🙄 y u# %guys slow,Why are you guys so slow?,complaint,annoyed,0.71,
hpy  wid  srvcs  😊,I am happy with your services,feedback,happy,0.91,pls provide your feedback
no clue wht hppnd 😕,I have no idea what happened,unknown,confused,0.35,Can you please explain further?
service achi% lagi ^😊,I liked the service,feedback,happy,0.95,pls provide your feedback
bhai  balance  dikha,"Bhai, show me balance",check_balance,neutral,0.91,
phir  @erro#r  aa  raha  hai,I am getting error again,app_issue,frustrated,0.67,
😡 y tf my txn fail,Why did my transaction fail?,failed_transaction,angry,0.77,
phir  error  aa  raha  hai,I am getting error again,app_issue,frustrated,0.74,
phir  error  aa  raha  hai,I am getting error again,app_issue,frustrated,0.63,
🤔 uh wot's IFSC??,What is IFSC?,general_query,confused,0.52,
no clue wht hp#pnd# 😕,I have no idea what happened,unknown,confused,0.56,
IFS@C ky^a^ hota @hai?,What is IFSC?,general_query,confused,0.52,
samajh  nahi  aaya,I didn't understand,unknown,confused,0.42,Can you please explain further?
IFSC $kya^ @hota hai?&,What is IFSC?,general_query,confused,0.39,Can you please explain further?
hpy  wid  srvcs  😊,I am happy with your services,feedback,happy,0.81,pls provide your feedback
itna  slow#  kyu  ho,Why is it so slow?,complaint,annoyed,0.76,
mera  account  block  ho  gaya  😭,My account has been blocked,account_issue,sad,0.86,
🤔  uh  wot's  IFSC??,What is IFSC?,general_query,confused,0.46,Can you please explain further?
🤔  uh  wot's  IFSC??,What is IFSC?,general_query,confused,0.35,Can you please explain further?
mere paise kahan gaye 😡,Where did my money go?,transaction_issue,angry,0.74,
samajh nahi aaya,I didn't understand,unknown,confused,0.59,
mera  account  block  ho  gaya  😭,My account has been blocked,account_issue,sad,0.84,
🤔 uh wot@'s@ IF$SC??,What is IFSC?,general_query,confused,0.51,
phir error aa raha hai,I am getting error again,app_issue,frustrated,0.72,
phir  error  aa  raha  hai,I am getting error again,app_issue,frustrated,0.73,
hp#y  wid  sr@vcs  😊#,I am happy with your services,feedback,happy,0.94,pls provide your feedback
kisi se baat *karni& &hai,I want to talk to someone,human_agent_request,urgent,0.95,
msg  err  ag@n,I am getting message error again,app_issue,frustrated,0.81,
wn#t  2  tlk  2  sm1,I want to talk to someone,human_agent_request,urgent,0.88,
kisi  se  baat  karni  hai,I want to talk to someone,human_agent_request,urgent,0.77,
msg err agn,I am getting message error again,app_issue,frustrated,0.65,
k*is%i se baat karni hai,I want to talk to someone,human_agent_request,urgent,0.98,
bha$i balance dikha,"Bhai, show me balance",check_balance,neutral,0.95,
mere paise kahan gaye 😡,Where did my money go?,transaction_issue,angry,0.88,
hpy wid srvcs 😊,I am happy with your services,feedback,happy,0.84,pls provide your feedback
n%o cl#ue wht hppnd 😕,I have no idea what happened,unknown,confused,0.33,Can you please explain further?
hpy  wid  srvcs  😊,I am happy with your services,feedback,happy,0.97,pls provide your feedback
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.49,Can you please explain further?
😡 y tf my txn fail,Why did my transaction fail?,failed_transaction,angry,0.88,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.72,
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.3,Can you please explain further?
mera account block ho gaya 😭,My account has been blocked,account_issue,sad,0.75,
kisi se baat karni hai,I want to talk to someone,human_agent_request,urgent,0.72,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.81,
no clue wht hppnd 😕,I have no idea what happened,unknown,confused,0.35,Can you please explain further?
IFSC  kya  hota  hai?,What is IFSC?,general_query,confused,0.45,Can you please explain further?
bal  pls,Please show me my balance,check_balance,neutral,0.85,
bhai  balance@  dikha,"Bhai, show me balance",check_balance,neutral,0.89,
samajh nahi aaya,I didn't understand,unknown,confused,0.54,
up@d$8#  phn  no.,Update my phone number,update_info,neutral,0.88,
phir error aa rah#a& ha$i,I am getting error again,app_issue,frustrated,0.83,
wn$t  2  tlk$  @2  sm1,I want to talk to someone,human_agent_request,urgent,0.76,
wnt  2  tlk  2  sm1,I want to talk to someone,human_agent_request,urgent,0.91,
bal  pls,Please show me my balance,check_balance,neutral,1,
phone  number  badalna  hai,I want to update my phone number,update_info,neutral,0.94,
IFSC kya& hota hai?,What is IFSC?,general_query,confused,0.39,Can you please explain further?
😡 y tf my txn fail,Why did my transaction fail?,failed_transaction,angry,0.9,
m@sg err a%gn,I am getting message error again,app_issue,frustrated,0.84,
bal pls,Please show me my balance,check_balance,neutral,0.86,
upd$8  phn  n@o.,Update my phone number,update_info,neutral,0.96,
😡  y  tf  my  txn  fail,Why did my transaction fail?,failed_transaction,angry,0.9,
upd8 phn no.,Update my phone number,update_info,neutral,0.88,
phir err^or aa$ raha hai,I am getting error again,app_issue,frustrated,0.84,
m#era  ac@count  block  ho  gaya  😭,My account has been blocked,account_issue,sad,0.82,
🙄 y u guys slow,Why are you guys so slow?,complaint,annoyed,0.74,
kisi  se  baat  kar@ni  hai,I want to talk to someone,human_agent_request,urgent,0.84,
phir  err#or  aa  raha  hai,I am getting error again,app_issue,frustrated,0.78,
bhai balance dikha,"Bhai, show me balance",check_balance,neutral,0.89,
itna  slow  kyu  h$o,Why is it so slow?,complaint,annoyed,0.73,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.84,
🙄  y$  u  guys  slow,Why are you guys so slow?,complaint,annoyed,0.71,
😭  a$cct$  blc@k@d#?$,Is my account blocked?,account_issue,sad,0.89,
phir  error  aa  raha  hai,I am getting error again,app_issue,frustrated,0.85,
w%n@t 2 tlk 2 sm1,I want to talk to someone,human_agent_request,urgent,0.78,
wnt* 2 tlk 2$ sm1,I want to talk to someone,human_agent_request,urgent,0.73,
msg  err  ag$n,I am getting message error again,app_issue,frustrated,0.78,
no clue wht& h$pp*nd 😕,I have no idea what happened,unknown,confused,0.42,Can you please explain further?
hpy  wid  srvcs  😊,I am happy with your services,feedback,happy,0.98,pls provide your feedback
🙄 y u gu@ys slow,Why are you guys so slow?,complaint,annoyed,0.63,
mere paise kahan gaye 😡,Where did my money go?,transaction_issue,angry,0.95,
phone  number  badalna  hai,I want to update my phone number,update_info,neutral,0.88,
service  achi  lagi  😊,I liked the service,feedback,happy,0.82,pls provide your feedback
phi#r  error@  aa#  rah#a  hai,I am getting error again,app_issue,frustrated,0.81,
no  clue  wh@t#  hppnd  😕,I have no idea what happened,unknown,confused,0.56,
hpy wid srvcs 😊$,I am happy with your services,feedback,happy,0.94,pls provide your feedback
😡 y$ tf my txn ^f$ail,Why did my transaction fail?,failed_transaction,angry,0.88,
IFSC kya hota hai?,What is IFSC?,general_query,confused,0.52,
🤔 #uh wot's IFSC??,What is IFSC?,general_query,confused,0.5,
phone  number  badalna  hai,I want to update my phone number,update_info,neutral,0.99,
kisi se baat karni hai,I want to talk to someone,human_agent_request,urgent,0.71,
itna slow kyu ho,Why is it so slow?,complaint,annoyed,0.89,
kisi  se  baat  karni  hai,I want to talk to someone,human_agent_request,urgent,0.92,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.87,
service  achi  lagi  😊,I liked the service,feedback,happy,0.91,pls provide your feedback
kisi  se  baat  karni  $h#ai,I want to talk to someone,human_agent_request,urgent,0.88,
🙄  y  u  guys  slow,Why are you guys so slow?,complaint,annoyed,0.71,
itna@  sl@ow  kyu  ho,Why is it so slow?,complaint,annoyed,0.75,
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.3,Can you please explain further?
wnt 2 tlk 2 sm1,I want to talk to someone,human_agent_request,urgent,0.71,
samajh  nahi  aaya,I didn't understand,unknown,confused,0.4,Can you please explain further?
IFSC kya h^ota h$ai?,What is IFSC?,general_query,confused,0.37,Can you please explain further?
msg  err  agn,I am getting message error again,app_issue,frustrated,0.63,
itna  slow  kyu  ho,Why is it so slow?,complaint,annoyed,0.83,
bal pls,Please show me my balance,check_balance,neutral,0.88,
😡 y tf my txn fail,Why did my transaction fail?,failed_transaction,angry,0.99,
kisi se baat karni hai,I want to talk to someone,human_agent_request,urgent,0.98,
service achi lagi ^😊,I liked the service,feedback,happy,0.81,pls provide your feedback
mera  account  block  ho  g#aya  😭,My account has been blocked,account_issue,sad,0.82,
😡 y tf my txn fail,Why did my transaction fail?,failed_transaction,angry,0.74,
no @clue wht hppnd 😕,I have no idea what happened,unknown,confused,0.31,Can you please explain further?
mere  paise  kahan  gaye  😡,Where did my money go?,transaction_issue,angry,0.93,
samajh  nah$i  @aaya,I didn't understand,unknown,confused,0.48,Can you please explain further?
msg err agn,I am getting message error again,app_issue,frustrated,0.77,
😡 y tf my txn fail,Why did my transaction fail?,failed_transaction,angry,0.94,
msg err agn,I am getting message error again,app_issue,frustrated,0.75,
kisi se baat karni hai,I want to talk to someone,human_agent_request,urgent,0.77,
😭  acct  blckd@?,Is my account blocked?,account_issue,sad,0.87,
🤔 uh w^o$t's IFSC??,What is IFSC?,general_query,confused,0.53,
bal pls,Please show me my balance,check_balance,neutral,0.98,
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.31,Can you please explain further?
ba$l pls,Please show me my balance,check_balance,neutral,0.94,
hpy  wid  srvcs  😊,I am happy with your services,feedback,happy,0.9,pls provide your feedback
😭  acct  blckd?,Is my account blocked?,account_issue,sad,0.92,
phir  error  aa  raha  hai,I am getting error again,app_issue,frustrated,0.62,
hpy wid srvcs 😊,I am happy with your services,feedback,happy,0.89,pls provide your feedback
upd8  phn  no.,Update my phone number,update_info,neutral,0.94,
upd8 phn no.,Update my phone number,update_info,neutral,0.88,
phir  er#ror  aa  rah@a  hai,I am getting error again,app_issue,frustrated,0.6,
mer#a  acc@ount  block  ho  gaya  #😭,My account has been blocked,account_issue,sad,0.89,
😭 acct^ *blckd?,Is my account blocked?,account_issue,sad,0.95,
bal pls,Please show me my balance,check_balance,neutral,0.83,
mera account block ho gaya 😭,My account has been blocked,account_issue,sad,0.81,
hpy wid srvcs 😊,I am happy with your services,feedback,happy,0.93,pls provide your feedback
🤔  uh  wot's  IFSC??,What is IFSC?,general_query,confused,0.5,
😭  acct  blckd?,Is my account blocked?,account_issue,sad,0.92,
kisi  se  baat  karni  ha$i,I want to talk to someone,human_agent_request,urgent,0.71,
no clue wht hppnd 😕,I have no idea what happened,unknown,confused,0.55,
😭 acct% blckd@?,Is my account blocked?,account_issue,sad,0.76,
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.56,
😭  acct  blckd?,Is my account blocked?,account_issue,sad,0.94,
🤔 uh$ wot'*s# $IFSC??,What is IFSC?,general_query,confused,0.35,Can you please explain further?
phone  number  badalna  hai,I want to update my phone number,update_info,neutral,0.84,
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.41,Can you please explain further?
🤔  uh  wot's  IFSC??,What is IFSC?,general_query,confused,0.46,Can you please explain further?
itna  slow  kyu  ho,Why is it so slow?,complaint,annoyed,0.77,
mera account block& ho gaya 😭,My account has been blocked,account_issue,sad,0.75,
i$tna  slow$  k$y$u  ho,Why is it so slow?,complaint,annoyed,0.89,
😭  a$cct  blckd?,Is my account blocked?,account_issue,sad,0.71,
mera account block ho gaya 😭,My account has been blocked,account_issue,sad,0.71,
bhai$  bala#nce  dikha,"Bhai, show me balance",check_balance,neutral,0.85,
IFSC  kya  hota  hai?,What is IFSC?,general_query,confused,0.36,Can you please explain further?
upd8 phn no.,Update my phone number,update_info,neutral,0.89,
ba@l  pls,Please show me my balance,check_balance,neutral,0.88,
b$hai  balance  dikha,"Bhai, show me balance",check_balance,neutral,0.96,
bal  p$ls,Please show me my balance,check_balance,neutral,0.86,
phir  error  aa  raha  hai,I am getting error again,app_issue,frustrated,0.67,
phone number badalna hai,I want to update my phone number,update_info,neutral,0.88,
😡  y  tf  my  txn  fail,Why did my transaction fail?,failed_transaction,angry,0.84,
upd8  phn  no.,Update my phone number,update_info,neutral,0.88,
it$na  slow  kyu  ho,Why is it so slow?,complaint,annoyed,0.61,
service  achi  lagi  😊#,I liked the service,feedback,happy,0.96,pls provide your feedback
hpy  wid@  srvcs  😊,I am happy with your services,feedback,happy,0.96,pls provide your feedback
🤔 uh wot's IFSC??,What is IFSC?,general_query,confused,0.31,Can you please explain further?
😡 y@ t*f my txn* $fail,Why did my transaction fail?,failed_transaction,angry,0.78,
itna slow kyu ho,Why is it so slow?,complaint,annoyed,0.63,
😡 y t@f my txn fail,Why did my transaction fail?,failed_transaction,angry,0.94,
upd8 @phn no.,Update my phone number,update_info,neutral,0.87,
bal  pls,Please show me my balance,check_balance,neutral,0.82,
hpy  wid  srvcs  😊,I am happy with your services,feedback,happy,0.89,pls provide your feedback
mera$  account  block  ho  g$aya  😭,My account has been blocked,account_issue,sad,0.93,
upd8  phn  no.,Update my phone number,update_info,neutral,0.86,
upd8 phn no.,Update my phone number,update_info,neutral,0.96,
bhai balan%ce d@ikha,"Bhai, show me balance",check_balance,neutral,0.99,
